1	Keynote - Still no flying cars, but at least we get rollups			Day 1	talk		2022-04-19T10:00:00+02:00	2022-04-19T10:30:00+02:00	Dankrad Feist	Dankrad Feist	Ethereum Foundation	Dankrad Feist is an Ethereum researcher with a background in Theoretical Physics and Technology. Since joining the Ethereum Foundation in 2019, he has worked on topics that involve applied cryptography, such as sharding, statelessness, the proof of custody and other topics.
2	Introducing Risk Framework 2.0			Day 1	talk		2022-04-19T10:30:00+02:00	2022-04-19T11:00:00+02:00	Bartek Kiepuszewski	Bartek Kiepuszewski	L2BEAT	Bartek Kiepuszewski is a Blockchain Researcher working for MakerDAO Protocol Engineering team where he is primarily responsible for risk assessment  of various scaling solutions for Ethereum. He is also a co-founder of l2beat.com, the community-focused, vendor-neutral portal educating users about Ethereum Layer2 ecosystem.
3	Are current rollups sufficiently decentralized?			Day 1	panel		2022-04-19T11:15:00+02:00	2022-04-19T11:45:00+02:00	Anthony Sassano, Ed Felten, Ben Jones, Ohad Barta, Alex Gluchowski	Anthony Sassano	The Daily Gwei	Independent Ethereum educator, angel investor and advisor. Anthony is a founder of The Daily Gwei and a Co-Founder of EthHub.	Ed Felten	Offchain Labs	Ed Felten is Co-founder and Chief Scientist at Offchain Labs, the makers of Arbitrum. He was previously the Kahn Professor of Computer Science and Public Affairs at Princeton University, and served on the White House staff as Deputy United States Chief Technology Officer. He is a member of the U.S. National Academy of Engineering and a Fellow of the ACM.	Ben Jones	Optimism	Ben "Weird ETH Yankovic" Jones is a co-founder and Chief Scientist at Optimism. Prior to Optimism he worked on Ethereum's CBC Casper team.  In his free time he works on crypto music.	Ohad Barta	StarkWare	Ohad Barta has been a product manager at StarkWare for two years. He is involved in numerous projects building on both StarkNet and StarkEx. Ohad came to StarkWare with 9 years of prior experience in theoretical cryptography and code development.	Alex Gluchowski	zkSync	Alex is a software architect with over 15 years of experience in engineering and startups. Currently, he is a co-founder at Matter Labs, an R&D company on a mission to solve blockchain scalability challenge with zero-knowledge proofs. Alex is deeply passionate about individual freedom, self-ownership and decentralization.
4	StarkNet New Horizons			Day 1	talk		2022-04-19T11:45:00+02:00	2022-04-19T12:15:00+02:00	Ohad Barta	Ohad Barta	StarkWare	Ohad Barta has been a product manager at StarkWare for two years. He is involved in numerous projects building on both StarkNet and StarkEx. Ohad came to StarkWare with 9 years of prior experience in theoretical cryptography and code development.
5	Rollups and the Future of Ethereum Scaling			Day 1	talk		2022-04-19T12:15:00+02:00	2022-04-19T12:45:00+02:00	Ed Felten	Ed Felten	Offchain Labs	Ed Felten is Co-founder and Chief Scientist at Offchain Labs, the makers of Arbitrum. He was previously the Kahn Professor of Computer Science and Public Affairs at Princeton University, and served on the White House staff as Deputy United States Chief Technology Officer. He is a member of the U.S. National Academy of Engineering and a Fellow of the ACM.
6	Induced Demand from Blockchain Resource Pricing			Day 1	talk		2022-04-19T13:50:00+02:00	2022-04-19T14:20:00+02:00	John Adler	John Adler	Fuel Labs	John is a PhD dropout (for real) and co-founder of Celestia Labs and Fuel Labs. Previously, he was a scalability researcher at ConsenSys, where he created the optimistic rollup design paradigm.
7	Internals of Matter Lab's zkEVM - design goals, technical challenges and tricks			Day 1	talk		2022-04-19T14:20:00+02:00	2022-04-19T14:50:00+02:00	Aleksandr Vlasov	Aleksandr Vlasov	Matter Labs	Ethereum enthusiast, Co-founder of Matter Labs.
8	Hybrid Compute: Realizing the Full Potential of Web3			Day 1	talk		2022-04-19T14:50:00+02:00	2022-04-19T15:20:00+02:00	Alan Chiu	Alan Chiu	Boba Network	Alan is Founder and CEO of Boba Network. He has more than 20 years of company building and investing experience, with a background in distributed systems, enterprise software, and fintech. Alan serves on the Stanford Graduate School of Business Alumni Board, as well as the board of Stanford Angels and Entrepreneurs as Co-President.
9	Fire the Cannons: Optimism's Next-Gen Fault Proofs			Day 1	talk		2022-04-19T15:30:00+02:00	2022-04-19T16:00:00+02:00	Ben Jones	Ben Jones	Optimism	Ben "Weird ETH Yankovic" Jones is a co-founder and Chief Scientist at Optimism. Prior to Optimism he worked on Ethereum's CBC Casper team.  In his free time he works on crypto music.
10	Discord into Discourse: Organizational Infrastructure			Day 1	talk		2022-04-19T16:00:00+02:00	2022-04-19T16:30:00+02:00	Yuan Su	Yuan Su	Metis	A visionary and transformative leader, with a hybrid skill set of technology and business. Yuan received his Bachelor of Computer Science with Honors at Acadia University and his Master of Business Administration (M.B.A.), Corporate Strategy, and Leadership at the University of Toronto. Quickly ascended the ranks to become Technical & Engagement Lead at IBM Canada, and moved on to become Co-Founder & Tech Lead at Metis.
11	Cross chain operations made easy with OpenZeppelin			Day 1	talk		2022-04-19T16:30:00+02:00	2022-04-19T17:00:00+02:00	Hadrien Croubois	Hadrien Croubois	OpenZeppelin	Hadrien is French, has a Ph.D. in computer science from the École Normale Supérieure de Lyon, and has been working as a smart-contracts engineer since 2017. Currently he is a part of the OpenZeppelin development team, working on the open-source smart-contracts library and the associated tooling.
